n,s
12.8.1,509
12.8.3,459
12.8.2,509
12.8.6,539
12.8.4,462
4.15.5,439
4.15.4,380
4.15.1,454
4.15.3,387
4.15.2,384
60.6.6,418
48.10.4,595
48.10.5,543
60.6.5,403
48.10.6,561
60.6.4,390
2.7.4,422
48.10.2,438
48.10.3,425
60.6.1,308
3.5.6,487
2.7.1,356
3.5.4,511
2.7.3,424
60.6.3,301
48.10.1,581
60.6.2,320
2.7.2,422
3.5.5,449
6.3.1,478
6.3.2,468
47.4.1,424
47.4.2,422
47.4.3,429
47.4.4,397
47.4.5,491
47.4.6,394
