n,s
,
1.27.1,90
,
,
2.14.1,87
,
2.14.2,88
3.19.1,92
,
,
,
4.20.1,97
4.20.2,107
,
12.25.1,113
12.25.2,111
12.25.3,128
12.25.4,118
,
,
60.22.1,110
60.22.2,113
60.22.3,96
60.22.4,93
47.6.1,80
47.6.2,78
47.6.3,91
48.24.1,94
48.24.2,80
48.24.3,96
,
,
,
,
,
,
,
,
,
,
,
,
,
,
