n,s
58.1.1,1510.3
58.1.2,897.7
58.1.3,1507.5
58.1.4,1320.5
57.1.11,998.9
57.1.1,1052
57.1.2,583.6
57.1.3,1042.5
57.1.4,788.9
57.1.5,1069.5
57.1.6,1766.3
57.1.7,997.9
57.1.8,650.6
57.1.9,1137.4
57.1.10,1570.6
56.1.1,920
56.1.2,1114.058
56.1.3,863.2
56.1.4,949.1
56.1.5,960.8
56.1.6,1087.2
44.1.1,936.6
44.1.2,1006.1
44.1.3,731.3
44.1.4,774.9
44.1.5,1335.7
44.1.6,1079.7
43.1.1,1173.7
43.1.2,882.7
43.1.3,1051.4
43.1.4,798.8
43.1.5,769.3
43.1.6,677.4
43.1.7,934
,
,
,
,
,
,
,
,
,
,
