n,s
12.9.3,15260.3324
12.9.2,12943.09871
12.9.1,12409.30061
3.98.2,18875.92607
3.98.1,19534.84056
4.137.1,25371.0373
4.137.3,26382.8151
4.137.2,20342.3379
47.28.1,7721.761498
60.27.3,18715.57285
60.27.2,13857.70413
48.47.3,8439.014676
48.47.2,8016.008041
48.47.1,9835.056794
47.28.3,8044.88083
47.28.2,8451.241638
1.103.1,11420.23103
2.96.2,18712.66635
2.96.1,14438.17405
1.103.3,15929.68954
1.103.2,17723.03551
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
