n,s
1.107.1,535
1.107.2,573
1.107.3,620
2.95.1,899
2.95.2,905
2.95.3,881
,
,
3.102.1,900
3.102.2,1067
,
,
4.136.1,1091
4.136.2,1068
,
12.91.1,1152
12.91.2,1062
12.91.3,1148
,
,
,
60.29.1,1020
,
,
,
47.29.1,781
47.29.2,786
,
48.49.1,603
,
,
