n,s
1.27.1,74
,
,
2.14.1,83
,
2.14.2,88
,
,
3.19.1,83
,
,
,
4.20.1,80
4.20.2,75
,
12.24.1,102
12.24.2,108
12.24.3,101
12.24.4,112
,
,
60.22.1,83
60.22.2,90
60.22.3,85
,
47.6.1,80
47.6.2,72
47.6.3,80
48.24.1,67
48.24.2,66
48.24.3,80
