n,s
6.3.1,293
6.3.2,390
,
2.9.1,350
2.9.2,425
2.9.3,389
2.9.4,390
2.9.5,355
3.7.1,642
3.7.2,703
3.7.3,545
3.7.4,705
4.16.1,400
4.16.2,522
4.16.3,460
12.9.1,404
12.9.2,495
12.9.3,396
12.9.4,470
12.9.5,469
12.9.6,423
60.5.1,495
60.5.2,470
60.5.3,525
60.5.4,562
47.6.1,283
47.6.2,240
47.6.3,220
48.9.1,412
48.9.2,470
48.9.4,423
,
,
,
,
,
,
,
,
,
,
,
,
,
